Component,Total PRs,Merged,Merge Rate,Features,Bug Fixes,Refactors,Top Contributor
va-file-input,36,30,83.3%,16,4,0,it-harrison
va-modal,17,14,82.4%,2,5,0,RyanMunsch
va-combo-box,12,10,83.3%,1,1,0,KyleCardwell
va-alert,10,9,90.0%,5,3,0,powellkerry
va-memorable-date,9,8,88.9%,7,0,0,jamigibbs
va-input-telephone,9,8,88.9%,2,1,0,it-harrison
va-link,8,7,87.5%,1,5,0,RyanMunsch
va-accordion,8,5,62.5%,1,2,0,amyleadem
va-table,8,6,75.0%,6,0,0,jamigibbs
va-telephone-input,7,6,85.7%,1,0,0,it-harrison
va-file-input-multiple,7,6,85.7%,3,0,0,jamigibbs
va-text-input,6,5,83.3%,5,1,0,RyanMunsch
va-sidenav,6,6,100.0%,2,0,0,jamigibbs
va-segmented-progress-bar,6,4,66.7%,0,1,0,RyanMunsch
va-icon,6,6,100.0%,5,0,0,babsdenney
va-date,5,2,40.0%,1,1,0,powellkerry
va-tag-status,5,4,80.0%,1,0,0,powellkerry
va-button-segmented,5,4,80.0%,2,0,0,RyanMunsch
va-button,4,3,75.0%,0,1,0,ediiotero
va-additional-info,4,4,100.0%,4,0,0,powellkerry
va-accordion-item,4,4,100.0%,0,0,0,RyanMunsch
va-omb-info,4,4,100.0%,3,0,0,amyleadem
va-link-action,4,4,100.0%,1,0,0,jamigibbs
va-alert-expandable,4,4,100.0%,0,1,0,jamigibbs
va-search-filter,4,4,100.0%,2,0,0,jamigibbs
va-on-this-page,3,3,100.0%,0,1,0,amyleadem
va-card-status,3,3,100.0%,1,0,0,RyanMunsch
va-search-input,3,3,100.0%,1,0,0,ediiotero
va-select,3,3,100.0%,2,0,0,amyleadem
va-radio,3,1,33.3%,0,0,0,macalemid
va-textarea,3,3,100.0%,0,3,0,RyanMunsch
va-telephone,3,3,100.0%,1,1,0,powellkerry
va-tabs,3,2,66.7%,3,0,0,RyanMunsch
va-critical-action,3,2,66.7%,1,0,0,bellepx0
va-details,2,2,100.0%,1,1,0,amyleadem
va-maintenance-banner,2,2,100.0%,2,0,0,RyanMunsch
va-card,2,2,100.0%,1,0,0,jeana-adhoc
va-language-toggle,2,2,100.0%,1,0,0,jamigibbs
va-pagination,2,2,100.0%,0,0,0,jamigibbs
va-progress-bar,2,2,100.0%,1,0,0,it-harrison
va-crisis-line-modal,2,2,100.0%,2,0,0,powellkerry
va-checkbox,2,2,100.0%,1,0,0,jamigibbs
va-alert-sign-in,2,2,100.0%,0,0,0,danbrady
va-checkbox-group,2,2,100.0%,1,1,0,RyanMunsch
va-loading-indicator,2,1,50.0%,1,1,0,seesleestak
va-service-list-item,2,2,100.0%,0,0,0,bellepx0
va-radio-option,1,1,100.0%,1,0,0,jamigibbs
va-sort,1,1,100.0%,1,0,0,jamigibbs
va-privacy-agreement,1,1,100.0%,0,0,0,jamigibbs
va-tag,1,0,0.0%,1,0,0,RyanMunsch
va-button-icon,1,1,100.0%,0,0,0,RyanMunsch
va-breadcrumbs,1,1,100.0%,0,0,0,powellkerry
va-statement-of-truth,1,1,100.0%,1,0,0,longmd
va-promo-banner,1,1,100.0%,0,0,0,humancompanion-usds
va-need-help,1,0,0.0%,0,0,0,jamigibbs
va-breadcrumb,1,1,100.0%,1,0,0,jamigibbs
