Contributor,Total PRs,Merge Rate,Repos,Component Library,Design System Docs,Forms Library
humancompanion-usds,232,74.1%,2,63,169,0
it-harrison,174,78.7%,3,48,13,113
rhasselle-oddball,172,52.3%,2,1,0,171
jamigibbs,109,93.6%,2,86,23,0
laurenvocke-va,84,94.0%,1,0,84,0
powellkerry,79,88.6%,2,71,8,0
jeana-adhoc,69,95.7%,2,3,66,0
RyanMunsch,67,83.6%,2,64,3,0
danbrady,61,83.6%,2,9,52,0
caw310,56,98.2%,1,0,56,0
cadibemma,54,85.2%,1,0,0,54
amyleadem,53,67.9%,2,46,7,0
babsdenney,47,95.7%,2,6,41,0
Copilot,33,51.5%,2,2,31,0
dustin-cintron,32,81.3%,1,0,0,32
dependabot[bot],31,64.5%,2,21,10,0
dominicpadula1,23,87.0%,2,2,0,21
ediiotero,17,82.4%,2,16,1,0
ndsprinkle,17,88.2%,3,2,2,13
eileen-coforma,16,93.8%,1,0,16,0
Mottie,15,73.3%,2,4,0,11
derekwang99,11,90.9%,1,0,11,0
jonichan-ia,11,100.0%,1,0,11,0
tbaker1026,9,77.8%,1,0,9,0
bellepx0,8,87.5%,2,4,4,0
longmd,6,100.0%,1,6,0,0
allison0034,4,100.0%,1,0,4,0
va-dst-bot,4,0.0%,1,0,4,0
erinrwhite,4,75.0%,1,0,4,0
KyleCardwell,3,100.0%,1,3,0,0
ataker,3,66.7%,1,3,0,0
rsmithadhoc,3,66.7%,1,0,3,0
ToddWebDev,3,100.0%,1,0,0,3
tfink419,2,0.0%,1,2,0,0
acrollet,2,0.0%,1,2,0,0
adamwhitlock1,2,100.0%,2,1,1,0
t-michaud,2,100.0%,1,0,2,0
LWWright7,2,100.0%,1,0,2,0
bryanbassett-va,2,0.0%,1,0,0,2
cosu419,2,0.0%,1,0,0,2
josephrlee,1,0.0%,1,1,0,0
TimRoe,1,100.0%,1,1,0,0
Dr-Pongo,1,100.0%,1,1,0,0
macalemid,1,0.0%,1,1,0,0
pixiitech,1,0.0%,1,1,0,0
andresriveratoro,1,100.0%,1,1,0,0
helene-mccarron,1,0.0%,1,1,0,0
seesleestak,1,0.0%,1,1,0,0
alex-morgun-1,1,100.0%,1,1,0,0
micahchiang,1,100.0%,1,1,0,0
